artist,title,musicChart,year/decade
Charlie Puth,How Long,Apple Music,2017-2020
Ariana Grande,God is a woman,Apple Music,2017-2020
Khalid,Talk,Apple Music,2017-2020
Drake,Nice For What,Apple Music,2017-2020
Meduza,Piece Of Your Heart,Apple Music,2017-2020
Zedd & Alessia Cara,Stay,Apple Music,2017-2020
Ariana Grande,"break up with your girlfriend, i'm bored",Apple Music,2017-2020
XXXTENTACION,Moonlight,Apple Music,2017-2020
Selena Gomez,Back to You,Apple Music,2017-2020
Keala Settle & The Greatest Showman Ensemble,This Is Me,Apple Music,2017-2020
Bruno Mars,Finesse,Apple Music,2017-2020
Dua Lipa,Don't Start Now,Apple Music,2017-2020
Eminem,River,Apple Music,2017-2020
Clean Bandit,Symphony,Apple Music,2017-2020
Luis Fonsi & Demi Lovato,Échame La Culpa,Apple Music,2017-2020
P!nk,What About Us,Apple Music,2017-2020
"Kendrick Lamar, SZA",All The Stars,Apple Music,2017-2020
Sam Smith,How Do You Sleep?,Apple Music,2017-2020
Shawn Mendes,In My Blood,Apple Music,2017-2020
"Billie Eilish, Khalid",lovely,Apple Music,2017-2020
Jonas Blue,Mama,Apple Music,2017-2020
Meek Mill,Going Bad,Apple Music,2017-2020
Kendrick Lamar,HUMBLE.,Apple Music,2017-2020
Ed Sheeran,South of the Border,Apple Music,2017-2020
"Calvin Harris, Rag’n’Bone Man",Giant,Apple Music,2017-2020
Ed Sheeran,Castle on the Hill,Apple Music,2017-2020
Pedro Capó & Farruko,Calma,Apple Music,2017-2020
Camila Cabello,Never Be the Same,Apple Music,2017-2020
Shawn Mendes,If I Can't Have You,Apple Music,2017-2020
Khalid,Better,Apple Music,2017-2020
David Guetta & Sia,Flames,Apple Music,2017-2020
Imagine Dragons,Whatever It Takes,Apple Music,2017-2020
Tyga,Taste,Apple Music,2017-2020
Cardi B,Bodak Yellow,Apple Music,2017-2020
Nicky Jam & J Balvin,X,Apple Music,2017-2020
Rita Ora,Let You Love Me,Apple Music,2017-2020
Post Malone,I Fall Apart,Apple Music,2017-2020
Chris Brown,No Guidance,Apple Music,2017-2020
Travis Scott,HIGHEST IN THE ROOM,Apple Music,2017-2020
Drake,Nonstop,Apple Music,2017-2020
Axwell Λ Ingrosso,More Than You Know,Apple Music,2017-2020
G-Eazy & Halsey,Him & I,Apple Music,2017-2020
Bazzi,Mine,Apple Music,2017-2020
Selena Gomez,Lose You to Love Me,Apple Music,2017-2020
Mariah Carey,All I Want For Christmas Is You,Apple Music,2017-2020
Ed Sheeran,Perfect Duet,Apple Music,2017-2020
Lady Gaga,Always Remember Us This Way,Apple Music,2017-2020
Avicii,Lonely Together,Apple Music,2017-2020
Taylor Swift,You Need To Calm Down,Apple Music,2017-2020
Kygo & Selena Gomez,It Ain't Me,Apple Music,2017-2020
Billie Eilish,everything i wanted,Apple Music,2017-2020
Liam Payne,Strip That Down,Apple Music,2017-2020
Clean Bandit,Rockabye,Apple Music,2017-2020
Taylor Swift,ME,Apple Music,2017-2020
Portugal. The Man,Feel It Still,Apple Music,2017-2020
Avicii,SOS,Apple Music,2017-2020
The Weeknd,Call Out My Name,Apple Music,2017-2020
Rita Ora,Anywhere,Apple Music,2017-2020
Ariana Grande,breathin,Apple Music,2017-2020
Kodak Black,ZEZE,Apple Music,2017-2020
Avicii,Without You,Apple Music,2017-2020
NF,Let You Down,Apple Music,2017-2020
BLACKPINK,DDU-DU DDU-DU,Apple Music,2017-2020
Drake,Money In The Grave,Apple Music,2017-2020
Ed Sheeran,Thinking Out Loud,Apple Music,2017-2020
Lauv & Troye Sivan,i'm so tired...,Apple Music,2017-2020
Khalid & Normani,Love Lies,Apple Music,2017-2020
Danny Ocean,Me Rehúso,Apple Music,2017-2020
The Weeknd,Starboy,Apple Music,2017-2020
Regard,Ride It,Apple Music,2017-2020
Post Malone,Congratulations,Apple Music,2017-2020
Clean Bandit,I Miss You,Apple Music,2017-2020
Kygo & Whitney Houston,Higher Love,Apple Music,2017-2020
Logic,1-800-273-8255,Apple Music,2017-2020
Lauv,I Like Me Better,Apple Music,2017-2020
Imagine Dragons,Natural,Apple Music,2017-2020
A$AP Rocky,Praise the Lord,Apple Music,2017-2020
Charlie Puth,We Don’t Talk Anymore,Apple Music,2017-2020
Mark Ronson,Nothing Breaks Like a Heart,Apple Music,2017-2020
Hailee Steinfeld,Let Me Go,Apple Music,2017-2020
"6ix9ine, Nicki Minaj, Murda Beatz",FEFE,Apple Music,2017-2020
XXXTENTACION & Lil Pump,Arms Around You,Apple Music,2017-2020
Arizona Zervas,Roxanne,Apple Music,2017-2020
Tom Walker,Leave a Light On,Apple Music,2017-2020
DJ Khaled,No Brainer,Apple Music,2017-2020
XXXTENTACION,Jocelyn Flores,Apple Music,2017-2020
Kanye West & Lil Pump,I Love It,Apple Music,2017-2020
Marshmello,Here With Me,Apple Music,2017-2020
Tiësto & Dzeko,Jackie Chan,Apple Music,2017-2020
Justin Timberlake,Say Something,Apple Music,2017-2020
Bruno Mars,24K Magic,Apple Music,2017-2020
Taylor Swift,Lover,Apple Music,2017-2020
The Weeknd,I Feel It Coming ft. Daft Punk,Apple Music,2017-2020
Lil Pump,Gucci Gang,Apple Music,2017-2020
"DJ Snake, J. Balvin, Tyga",Loco Contigo,Apple Music,2017-2020
Zac Efron & Zendaya,Rewrite the Stars,Apple Music,2017-2020
The Weeknd,Blinding Lights,Apple Music,2017-2020
Ed Sheeran,Photograph,Apple Music,2017-2020
Martin Garrix & Troye Sivan,There For You,Apple Music,2017-2020
"The Weeknd, Kendrick Lamar",Pray For Me,Apple Music,2017-2020
BLACKPINK,Kill This Love,Apple Music,2017-2020
Ed Sheeran,Cross Me,Apple Music,2017-2020
Ed Sheeran,Happier,Apple Music,2017-2020
"Silk City, Dua Lipa",Electricity,Apple Music,2017-2020
"Alan Walker, Noah Cyrus & Digital Farm Animals",All Falls Down,Apple Music,2017-2020
Jason Derülo,Swalla,Apple Music,2017-2020
Ali Gatie,It's You,Apple Music,2017-2020
Billie Eilish,wish you were gay,Apple Music,2017-2020
BLACKPINK,As If It's Your Last,Apple Music,2017-2020
"Y2K, bbno$",Lalala,Apple Music,2017-2020
Queen,Bohemian Rhapsody,Apple Music,2017-2020
"Hugh Jackman, Keala Settle, Zac Efron, Zendaya & The Greatest Showman Ensemble",The Greatest Show,Apple Music,2017-2020
Young Thug,The London,Apple Music,2017-2020
Alan Walker,Faded,Apple Music,2017-2020
Aya Nakamura,Djadja,Apple Music,2017-2020
XXXTENTACION,Changes,Apple Music,2017-2020
Taylor Swift,...Ready For It,Apple Music,2017-2020
Liam Payne & Rita Ora,For You,Apple Music,2017-2020
J. Cole,MIDDLE CHILD,Apple Music,2017-2020
Lil Dicky,Freaky Friday,Apple Music,2017-2020
Maluma,Felices los 4,Apple Music,2017-2020
Lizzo,Truth Hurts,Apple Music,2017-2020
BTS,Boy With Luv,Apple Music,2017-2020
DJ Snake ft. Justin Bieber,Let Me Love You,Apple Music,2017-2020
Rita Ora,Your Song,Apple Music,2017-2020
Lil Tecca,Ransom,Apple Music,2017-2020
Macklemore,Glorious,Apple Music,2017-2020
Katy Perry,Never Really Over,Apple Music,2017-2020
Dominic Fike,3 Nights,Apple Music,2017-2020
"Nio García, Casper Mágico & Bad Bunny",Te Boté,Apple Music,2017-2020
BlocBoy JB,Look Alive,Apple Music,2017-2020
Daddy Yankee,Dura,Apple Music,2017-2020
Travis Scott,Butterfly Effect,Apple Music,2017-2020
Martin Garrix,Ocean,Apple Music,2017-2020
JENNIE (from BLACKPINK),SOLO,Apple Music,2017-2020
Loren Allred,Never Enough,Apple Music,2017-2020
"Natti Natasha, Ozuna",Criminal,Apple Music,2017-2020
A Boogie wit da Hoodie,Swervin,Apple Music,2017-2020
Lil Uzi Vert,XO TOUR Llif3,Apple Music,2017-2020
Major Lazer,Know No Better,Apple Music,2017-2020
Imagine Dragons,Bad Liar,Apple Music,2017-2020
Harry Styles,Sign of the Times,Apple Music,2017-2020
Jax Jones,Breathe,Apple Music,2017-2020
Trevor Daniel,Falling,Apple Music,2017-2020
Lil Baby & Gunna,Drip Too Hard,Apple Music,2017-2020
Dan + Shay & Justin Bieber,"10,000 Hours",Apple Music,2017-2020
Piso 21,Déjala Que Vuelva,Apple Music,2017-2020
"Ziv Zaifman, Hugh Jackman & Michelle Williams",A Million Dreams,Apple Music,2017-2020
Demi Lovato,Sorry Not Sorry,Apple Music,2017-2020
21 Savage,Bank Account,Apple Music,2017-2020
Alec Benjamin,Let Me Down Slowly,Apple Music,2017-2020
DAOKO×米津玄師,Uchiagehanabi,Apple Music,2017-2020
Eminem,Lucky You,Apple Music,2017-2020
Ariana Grande & Social House,Boyfriend,Apple Music,2017-2020
Drake,Signs,Apple Music,2017-2020
ONE OK ROCK,Wherever you are,Apple Music,2017-2020
Sam Feldt,Post Malone,Apple Music,2017-2020
Lukas Graham,Love Someone,Apple Music,2017-2020
Sheck Wes,Mo Bamba,Apple Music,2017-2020
Kygo & Imagine Dragons,Born to Be Yours,Apple Music,2017-2020
Jason Derülo,Tip Toe,Apple Music,2017-2020
Bebe Rexha & Florida Georgia Line,Meant to Be,Apple Music,2017-2020
Migos,Walk It Talk It,Apple Music,2017-2020
"Anuel AA, Daddy Yankee, Karol G, Ozuna & J Balvin",China,Apple Music,2017-2020
"Migos, Nicki Minaj, Cardi B",MotorSport,Apple Music,2017-2020
あいみょん,君はロックを聴かない,Apple Music,2017-2020
Big Shaq,Man's Not Hot,Apple Music,2017-2020
Calvin Harris,Slide,Apple Music,2017-2020
Ozuna,Se Preparó,Apple Music,2017-2020
James Arthur,Say You Won't Let Go,Apple Music,2017-2020
Reik,Me Niego,Apple Music,2017-2020
The Chainsmokers,This Feeling,Apple Music,2017-2020
Shawn Mendes,Youth,Apple Music,2017-2020
Taylor Swift,Gorgeous,Apple Music,2017-2020
Robin Schulz,OK,Apple Music,2017-2020
Kygo,Stargazing,Apple Music,2017-2020
BLACKPINK,Forever Young,Apple Music,2017-2020
Martin Garrix & David Guetta,So Far Away,Apple Music,2017-2020
Lizzo,Good as Hell,Apple Music,2017-2020
Paulo Londra,Adán y Eva,Apple Music,2017-2020
Selena Gomez,Bad Liar,Apple Music,2017-2020
The Chainsmokers,Who Do You Love,Apple Music,2017-2020
あいみょん,マリーゴールド,Apple Music,2017-2020
Cardi B & Bruno Mars,Please Me,Apple Music,2017-2020
Khalid,Location,Apple Music,2017-2020
Louis Tomlinson,Back to You,Apple Music,2017-2020
Drake,One Dance,Apple Music,2017-2020
Offset & Metro Boomin,Ric Flair Drip,Apple Music,2017-2020
Dua Lipa & BLACKPINK,Kiss and Make Up,Apple Music,2017-2020
Billie Eilish,you should see me in a crown,Apple Music,2017-2020
Cheat Codes,No Promises,Apple Music,2017-2020
Charlie Puth,Done For Me,Apple Music,2017-2020
TWICE,What is Love,Apple Music,2017-2020
Ozuna,Vaina Loca,Apple Music,2017-2020
Becky G,Sin Pijama,Apple Music,2017-2020
Bruno Mars,Versace On The Floor,Apple Music,2017-2020
TWICE,LIKEY,Apple Music,2017-2020
Maluma,Corazón,Apple Music,2017-2020
菅田 将暉,さよならエレジー,Apple Music,2017-2020
Bad Bunny & Tainy,Callaita,Apple Music,2017-2020
Calvin Harris,This Is What You Came For,Apple Music,2017-2020
James Arthur,Naked,Apple Music,2017-2020
Selena Gomez,Fetish,Apple Music,2017-2020
Lauv,Paris in the Rain,Apple Music,2017-2020
A Boogie wit da Hoodie,Look Back at It,Apple Music,2017-2020
Kygo & Miguel,Remind Me to Forget,Apple Music,2017-2020
Drake,Passionfruit,Apple Music,2017-2020
Anitta & J Balvin,Downtown,Apple Music,2017-2020
Cardi B,Money,Apple Music,2017-2020
Travis Scott,STARGAZING,Apple Music,2017-2020
"J. Balvin, Zion & Lennox",No Es Justo,Apple Music,2017-2020
Wham!,Last Christmas,Apple Music,2017-2020
"Ellie Goulding, Diplo & Swae Lee",Close to Me,Apple Music,2017-2020
Manuel Turizo,Una Lady Como Tú,Apple Music,2017-2020
HONNE,Day 1 ◑,Apple Music,2017-2020
Enrique Iglesias,SÚBEME LA RADIO,Apple Music,2017-2020
Daniel Caesar,Best Part,Apple Music,2017-2020
Lil Baby & Drake,Yes Indeed,Apple Music,2017-2020
XXXTENTACION,F**k Love,Apple Music,2017-2020
"ROSALÍA, J Balvin",Con Altura ft. El Guincho,Apple Music,2017-2020
Taylor Swift,End Game,Apple Music,2017-2020
"Alan Walker, Sabrina Carpenter & Farruko",On My Way,Apple Music,2017-2020
Harry Styles,Lights Up,Apple Music,2017-2020
Billie Eilish,all the good girls go to hell,Apple Music,2017-2020
"David Guetta, Bebe Rexha & J Balvin",Say My Name,Apple Music,2017-2020
Little Mix,Woman Like Me,Apple Music,2017-2020
"Meduza, Becky Hill & GOODBOYS",Lose Control,Apple Music,2017-2020
Roddy Ricch,The Box,Apple Music,2017-2020
Ava Max,So Am I,Apple Music,2017-2020
Justin Bieber,Yummy,Apple Music,2017-2020
Bazzi,Beautiful,Apple Music,2017-2020
Aya Nakamura,Pookie,Apple Music,2017-2020
iKON,LOVE SCENARIO,Apple Music,2017-2020
Harry Styles,Adore You,Apple Music,2017-2020
ZAYN & Taylor Swift,I Don’t Wanna Live Forever,Apple Music,2017-2020
blackbear,hot girl bummer,Apple Music,2017-2020
周杰倫,告白氣球,Apple Music,2017-2020
Bebe Rexha,Meant to Be,Apple Music,2017-2020
Khalid,Saturday Nights,Apple Music,2017-2020
Bad Bunny,Sensualidad,Apple Music,2017-2020
Maluma,HP,Apple Music,2017-2020
J Balvin & Jowell & Randy,Bonita,Apple Music,2017-2020
Jax Jones,Instruction,Apple Music,2017-2020
Martin Garrix & Dua Lipa,Scared to Be Lonely,Apple Music,2017-2020
Taylor Swift,Delicate,Apple Music,2017-2020
Niall Horan,Slow Hands,Apple Music,2017-2020
6ix9ine,BEBE,Apple Music,2017-2020
Post Malone,Ball For Me,Apple Music,2017-2020
Mustard & Migos,Pure Water,Apple Music,2017-2020
The Carters,APESHIT,Apple Music,2017-2020
Katy Perry,Swish Swish,Apple Music,2017-2020
Anuel AA & Karol G,Secreto,Apple Music,2017-2020
Sean Paul,Mad Love,Apple Music,2017-2020
Billie Eilish,ocean eyes,Apple Music,2017-2020
DaBaby,Suge,Apple Music,2017-2020
あいみょん,愛を伝えたいだとか,Apple Music,2017-2020
Hugh Jackman & Zac Efron,The Other Side,Apple Music,2017-2020
TWICE,YES or YES,Apple Music,2017-2020
MiyaGi & Эндшпиль,I Got Love,Apple Music,2017-2020
Childish Gambino,This Is America,Apple Music,2017-2020
"Lunay, Daddy Yankee & Bad Bunny",Soltera,Apple Music,2017-2020
"Ariana Grande, Miley Cyrus & Lana Del Rey",Don't Call Me Angel,Apple Music,2017-2020
Lil Nas X,Panini,Apple Music,2017-2020
The Chainsmokers,Sick Boy,Apple Music,2017-2020
Justin Bieber,Love Yourself,Apple Music,2017-2020
Ozuna,Baila Baila Baila,Apple Music,2017-2020
Shakira,Perro Fiel,Apple Music,2017-2020
"Jhay Cortez, J. Balvin, Bad Bunny",No Me Conoce (Remix),Apple Music,2017-2020
ONE OK ROCK,Change,Apple Music,2017-2020
Taylor Swift,Shake It Off,Apple Music,2017-2020
French Montana,No Stylist,Apple Music,2017-2020
TWICE,Heart Shaker,Apple Music,2017-2020
Ariana Grande,imagine,Apple Music,2017-2020
Miley Cyrus,Malibu,Apple Music,2017-2020
Gucci Mane,I Get the Bag,Apple Music,2017-2020
"J. Balvin, Bad Bunny",LA CANCIÓN,Apple Music,2017-2020
Rudimental,Sun Comes Up,Apple Music,2017-2020
Wolfine,Bella,Apple Music,2017-2020
TWICE,FANCY,Apple Music,2017-2020
"The Black Eyed Peas, J Balvin",RITMO (Bad Boys For Life),Apple Music,2017-2020
James Arthur & Anne-Marie,Rewrite the Stars,Apple Music,2017-2020
Camila Cabello,Liar,Apple Music,2017-2020
G-Eazy,No Limit,Apple Music,2017-2020
OneRepublic,Rescue Me,Apple Music,2017-2020
Harry Styles,Watermelon Sugar,Apple Music,2017-2020
Travis Scott,goosebumps,Apple Music,2017-2020
The Chainsmokers,Paris,Apple Music,2017-2020
Migos,Stir Fry,Apple Music,2017-2020
Piso 21 & Micro Tdh,Te Vi,Apple Music,2017-2020
LSD,Thunderclouds,Apple Music,2017-2020
Adele,Someone Like You,Apple Music,2017-2020
"Mau y Ricky, Manuel Turizo, Camilo",Desconocidos,Apple Music,2017-2020
Bausa,Was Du Liebe nennst,Apple Music,2017-2020
"benny blanco, Tainy, Selena Gomez & J Balvin",I Can't Get Enough,Apple Music,2017-2020
Chris Brown,Questions,Apple Music,2017-2020
Anuel AA,Sola,Apple Music,2017-2020
David Guetta,Don't Leave Me Alone,Apple Music,2017-2020
Jess Glynne,I'll Be There,Apple Music,2017-2020
Childish Gambino,Redbone,Apple Music,2017-2020
Anuel AA & Haze,Amanece,Apple Music,2017-2020
Taylor Swift,Blank Space,Apple Music,2017-2020
Sech,Otro Trago,Apple Music,2017-2020
Sigala & Paloma Faith,Lullaby,Apple Music,2017-2020
Post Malone,Hollywood's Bleeding,Apple Music,2017-2020
ZAYN,Let Me,Apple Music,2017-2020
Ramz,Barking,Apple Music,2017-2020
Reik & Maluma,Amigos Con Derechos,Apple Music,2017-2020
The Chainsmokers,Don't Let Me Down,Apple Music,2017-2020
21 Savage,a lot,Apple Music,2017-2020
Zion & Lennox,La Player (Bandolera),Apple Music,2017-2020
Carlos Vives,Robarte un Beso,Apple Music,2017-2020
Billie Eilish,idontwannabeyouanymore,Apple Music,2017-2020
Official髭男dism,ノーダウト,Apple Music,2017-2020
Zedd & Elley Duhé,Happy Now,Apple Music,2017-2020
Ed Sheeran & Travis Scott,Antisocial,Apple Music,2017-2020
ジャスティン・ビーバー,what do you mean?,Apple Music,2017-2020
Becky G & Bad Bunny,Mayores,Apple Music,2017-2020
Jason Derulo & David Guetta,Goodbye,Apple Music,2017-2020
Chris Jeday,Ahora Dice,Apple Music,2017-2020
Maggie Lindemann,Pretty Girl,Apple Music,2017-2020
P!nk,Walk Me Home,Apple Music,2017-2020
Danny Ocean,Dembow,Apple Music,2017-2020
Dave,Location,Apple Music,2017-2020
Aaron Smith,Dancin,Apple Music,2017-2020
"Tyler, The Creator",EARFQUAKE,Apple Music,2017-2020
Michael Bublé,It's Beginning To Look a Lot Like Christmas,Apple Music,2017-2020
NOTD,I Wanna Know,Apple Music,2017-2020
Cardi B,Bartier Cardi,Apple Music,2017-2020
Juice WRLD & YoungBoy Never Broke Again,Bandit,Apple Music,2017-2020
Drake,Mob Ties,Apple Music,2017-2020
King Gnu,白日,Apple Music,2017-2020
Lewis Capaldi,Hold Me While You Wait,Apple Music,2017-2020
Тима Белорусских,Мокрые кроссы,Apple Music,2017-2020
Stormzy,Vossi Bop,Apple Music,2017-2020
George Ezra,Paradise,Apple Music,2017-2020
"Jax Jones, Martin Solveig & Madison Beer",All Day and Night,Apple Music,2017-2020
The Chainsmokers & Illenium,Takeaway,Apple Music,2017-2020
YNW Melly,Murder On My Mind,Apple Music,2017-2020
あいみょん,今夜このまま,Apple Music,2017-2020
Halsey,Graveyard,Apple Music,2017-2020
J Balvin & Bad Bunny,QUÉ PRETENDES,Apple Music,2017-2020
The Chainsmokers & Bebe Rexha,Call You Mine,Apple Music,2017-2020
Billie Eilish,my strange addiction,Apple Music,2017-2020
Burak Yeter,Tuesday,Apple Music,2017-2020
Sean Paul,No Lie,Apple Music,2017-2020
Zivert,Life,Apple Music,2017-2020
TWICE,Dance The Night Away,Apple Music,2017-2020
Bonez MC & Raf Camora,500 PS,Apple Music,2017-2020
Marshmello & Kane Brown,One Thing Right,Apple Music,2017-2020
Drake,I'm Upset,Apple Music,2017-2020
Ozuna,Síguelo Bailando,Apple Music,2017-2020
Alvaro Soler,La Cintura,Apple Music,2017-2020
Official髭男dism,Stand By You,Apple Music,2017-2020
Kalash,Mwaka Moon,Apple Music,2017-2020
Lewis Capaldi,Before You Go,Apple Music,2017-2020
Future,Mask Off,Apple Music,2017-2020
David Guetta & Afrojack,Dirty Sexy Money,Apple Music,2017-2020
于文文,體面,Apple Music,2017-2020
"Hugh Jackman, Keala Settle, Daniel Everidge, Zendaya & The Greatest Showman Ensemble",Come Alive,Apple Music,2017-2020
"Becky G, Paulo Londra",Cuando Te Besé,Apple Music,2017-2020
Billie Eilish,i love you,Apple Music,2017-2020
"DJ Luian, Mambo Kingz & Anuel AA",Verte Ir,Apple Music,2017-2020
Alex Rose,Toda,Apple Music,2017-2020
Jeremy Zucker,comethru,Apple Music,2017-2020
Alex Sensation & Ozuna,Que Va,Apple Music,2017-2020
Drake,Don't Matter To Me,Apple Music,2017-2020
Maluma,11 PM,Apple Music,2017-2020
Mrs. GREEN APPLE,青と夏,Apple Music,2017-2020
JC,說散就散,Apple Music,2017-2020
Camila Cabello,Crying in the Club,Apple Music,2017-2020
Calum Scott,You Are The Reason,Apple Music,2017-2020
Post Malone,Candy Paint,Apple Music,2017-2020
Rag'n'Bone Man,Human,Apple Music,2017-2020
N.E.R.D & Rihanna,Lemon,Apple Music,2017-2020
Wisin,Escápate Conmigo,Apple Music,2017-2020
John Legend,All of Me,Apple Music,2017-2020
Kendrick Lamar,LOVE.,Apple Music,2017-2020
Kygo & Rita Ora,Carry On,Apple Music,2017-2020
Ella Mai,Trip,Apple Music,2017-2020
Young Thug,Hot,Apple Music,2017-2020
Баста,Сансара,Apple Music,2017-2020
CNCO & Little Mix,Reggaetón Lento,Apple Music,2017-2020
Red Velvet,Bad Boy,Apple Music,2017-2020
DA PUMP,U.S.A.,Apple Music,2017-2020
The Weeknd,Heartless,Apple Music,2017-2020
Tyga,Ayy Macarena,Apple Music,2017-2020
Taylor Swift,The Man,Apple Music,2017-2020
Nicki Minaj,Chun-Li,Apple Music,2017-2020
Polo G,Pop Out,Apple Music,2017-2020
SZA,Love Galore,Apple Music,2017-2020
TWICE,TT -Japanese ver.-,Apple Music,2017-2020
Nicky Jam,Te Robaré,Apple Music,2017-2020
Sebastian Yatra,Un Año,Apple Music,2017-2020
Normani,Motivation,Apple Music,2017-2020
Artik & Asti,Грустный дэнс,Apple Music,2017-2020
Blueface,Thotiana,Apple Music,2017-2020
Camila Cabello,My Oh My,Apple Music,2017-2020
XXXTENTACION,Everybody Dies in Their Nightmares,Apple Music,2017-2020
Ariana Grande,bloodline,Apple Music,2017-2020
周杰倫,等你下課,Apple Music,2017-2020
Ofenbach & Nick Waterhouse,Katchi,Apple Music,2017-2020
Angèle,Balance ton quoi,Apple Music,2017-2020
Tiësto,Ritual,Apple Music,2017-2020
Angèle,Tout oublier,Apple Music,2017-2020
Avicii,Wake Me Up,Apple Music,2017-2020
あいみょん,貴方解剖純愛歌~死ね~,Apple Music,2017-2020
ONE OK ROCK,Stand Out Fit In,Apple Music,2017-2020
Ed Sheeran,Take Me Back to London,Apple Music,2017-2020
Lil Peep & XXXTENTACION,Falling Down,Apple Music,2017-2020
DaBaby,BOP,Apple Music,2017-2020
TWICE,Feel Special,Apple Music,2017-2020
Niska,Réseaux,Apple Music,2017-2020
Ed Sheeran,Dive,Apple Music,2017-2020
"Nio Garcia, Casper Magico & Bad Bunny",Te Boté,Apple Music,2017-2020
Eminem,The Ringer,Apple Music,2017-2020
Karol G & Maluma,Créeme,Apple Music,2017-2020
清水 翔太,My Boo,Apple Music,2017-2020
폴킴,"모든 날, 모든 순간",Apple Music,2017-2020
Sam Hunt,Body Like a Back Road,Apple Music,2017-2020
Alice Merton,No Roots,Apple Music,2017-2020
Rich The Kid,Plug Walk,Apple Music,2017-2020
"DJ Luian, Mambo Kingz & Anuel AA",Bubalu,Apple Music,2017-2020
Queen,Don't Stop Me Now,Apple Music,2017-2020
周杰伦,告白气球,Apple Music,2017-2020
Ozuna,Solita,Apple Music,2017-2020
Blanco Brown,The Git Up,Apple Music,2017-2020
Post Malone,Take What You Want,Apple Music,2017-2020
Aya Nakamura,Copines,Apple Music,2017-2020
Travis Scott,YOSEMITE,Apple Music,2017-2020
Тима Белорусских,Незабудка,Apple Music,2017-2020
HammAli & Navai,Пустите меня на танцпол,Apple Music,2017-2020
Sia,Cheap Thrills,Apple Music,2017-2020
James Hype,More Than Friends,Apple Music,2017-2020
BTS,DNA,Apple Music,2017-2020
DJ Snake,A Different Way,Apple Music,2017-2020
BLACKPINK,Don't Know What To Do,Apple Music,2017-2020
CamelPhat & Elderbrook,Cola,Apple Music,2017-2020
HammAli & Navai,Ноты,Apple Music,2017-2020
BTS,FAKE LOVE,Apple Music,2017-2020
"Nacho, Yandel, Bad Bunny",Báilame - Remix,Apple Music,2017-2020
Kanye West,Follow God,Apple Music,2017-2020
Post Malone,Enemies,Apple Music,2017-2020
Post Malone,Die For Me,Apple Music,2017-2020
Kanye West,All Mine,Apple Music,2017-2020
Paulo Londra,Nena Maldición,Apple Music,2017-2020
Post Malone,Saint-Tropez,Apple Music,2017-2020
IZ*ONE,La Vie en Rose,Apple Music,2017-2020
Martin Garrix,Summer Days,Apple Music,2017-2020
Capital Bra,Neymar,Apple Music,2017-2020
Lady Gaga,I'll Never Love Again,Apple Music,2017-2020
Brytiago & Darell,Asesina,Apple Music,2017-2020
Maluma,Mala Mía,Apple Music,2017-2020
Foorin,パプリカ,Apple Music,2017-2020
Lewis Capaldi,Bruises,Apple Music,2017-2020
Ozuna,La Modelo,Apple Music,2017-2020
Bebe Rexha,I'm a Mess,Apple Music,2017-2020
Hugh Jackman & The Greatest Showman Ensemble,From Now On,Apple Music,2017-2020
6ix9ine,KIKA,Apple Music,2017-2020
Avicii,Heaven,Apple Music,2017-2020
Future,Life Is Good,Apple Music,2017-2020
Jorja Smith,Be Honest,Apple Music,2017-2020
ROSALÍA & Ozuna,"Yo x Ti, Tu x Mi",Apple Music,2017-2020
"Tainy, Anuel AA, Ozuna",Adicto,Apple Music,2017-2020
Queen,Another One Bites the Dust,Apple Music,2017-2020
Lartiste,Mafiosa,Apple Music,2017-2020
"Romeo Santos, Daddy Yankee, Nicky Jam",Bella y Sensual,Apple Music,2017-2020
XXXTENTACION,the remedy for a broken heart,Apple Music,2017-2020
Sigala & Ella Eyre,Came Here For Love,Apple Music,2017-2020
SHAED & ZAYN,Trampoline,Apple Music,2017-2020
Piso 21 & Paulo Londra,Te Amo,Apple Music,2017-2020
Bad Bunny,Amorfoda,Apple Music,2017-2020
Maluma,El Préstamo,Apple Music,2017-2020
Anuel AA,Quiere Beber,Apple Music,2017-2020
"KAROL G, Anuel AA",Culpables,Apple Music,2017-2020
Mrs. GREEN APPLE,WanteD WanteD,Apple Music,2017-2020
Sech,Otro Trago,Apple Music,2017-2020
Coldplay,Hymn for the Weekend,Apple Music,2017-2020
あいみょん,満月の夜なら,Apple Music,2017-2020
Nicky Jam,El Amante,Apple Music,2017-2020
Lost Frequencies & Zonderling,Crazy,Apple Music,2017-2020
HammAli & Navai,Девочка-война,Apple Music,2017-2020
"Jonas Blue, Liam Payne & Lennon Stella",Polaroid,Apple Music,2017-2020
"Thalía, Natti Natasha",No Me Acuerdo,Apple Music,2017-2020
Zedd & Liam Payne,Get Low,Apple Music,2017-2020
Mabel,Mad Love,Apple Music,2017-2020
Billie Eilish,bellyache,Apple Music,2017-2020
YG,Go Loko,Apple Music,2017-2020
Daddy Yankee & Anuel AA,Adictiva,Apple Music,2017-2020
SHAUN,Way Back Home,Apple Music,2017-2020
Kendrick Lamar,DNA.,Apple Music,2017-2020
Billie Eilish,xanny,Apple Music,2017-2020
Summer Cem,Tamam Tamam,Apple Music,2017-2020
Robin Schulz,Speechless,Apple Music,2017-2020
Элджей & Feduk,Розовое вино,Apple Music,2017-2020
Mark Ronson,Uptown Funk,Apple Music,2017-2020
Coez,La musica non c'è,Apple Music,2017-2020
